market,agent_pos,agent_id,action,share_pct
Tesla Robotaxi,5,6,CANCEL,0.0
Tesla Robotaxi,5,6,HOLD,15.0
Tesla Robotaxi,5,6,SPLIT,0.0
Tesla Robotaxi,5,6,MERGE,0.0
Tesla Robotaxi,5,6,UPDATE_BELIEF,65.0
Tesla Robotaxi,6,8,LIMIT,10.0
Tesla Robotaxi,6,8,MARKET,0.0
Tesla Robotaxi,6,8,CANCEL,0.0
Tesla Robotaxi,6,8,HOLD,25.0
Tesla Robotaxi,6,8,SPLIT,0.0
Tesla Robotaxi,6,8,MERGE,0.0
Tesla Robotaxi,6,8,UPDATE_BELIEF,65.0
Tesla Robotaxi,7,1,LIMIT,14.285714285714285
Tesla Robotaxi,7,1,MARKET,0.0
Tesla Robotaxi,7,1,CANCEL,4.761904761904762
Tesla Robotaxi,7,1,HOLD,19.047619047619047
Tesla Robotaxi,7,1,SPLIT,0.0
Tesla Robotaxi,7,1,MERGE,0.0
Tesla Robotaxi,7,1,UPDATE_BELIEF,61.904761904761905
Tesla Robotaxi,8,2,LIMIT,19.047619047619047
Tesla Robotaxi,8,2,MARKET,0.0
Tesla Robotaxi,8,2,CANCEL,14.285714285714285
Tesla Robotaxi,8,2,HOLD,0.0
Tesla Robotaxi,8,2,SPLIT,4.761904761904762
Tesla Robotaxi,8,2,MERGE,0.0
Tesla Robotaxi,8,2,UPDATE_BELIEF,61.904761904761905
Tesla Robotaxi,9,7,LIMIT,25.0
Tesla Robotaxi,9,7,MARKET,0.0
Tesla Robotaxi,9,7,CANCEL,5.0
Tesla Robotaxi,9,7,HOLD,5.0
Tesla Robotaxi,9,7,SPLIT,5.0
Tesla Robotaxi,9,7,MERGE,0.0
Tesla Robotaxi,9,7,UPDATE_BELIEF,60.0
Tesla Robotaxi,10,13,LIMIT,15.0
Tesla Robotaxi,10,13,MARKET,0.0
Tesla Robotaxi,10,13,CANCEL,5.0
Tesla Robotaxi,10,13,HOLD,20.0
Tesla Robotaxi,10,13,SPLIT,5.0
Tesla Robotaxi,10,13,MERGE,0.0
Tesla Robotaxi,10,13,UPDATE_BELIEF,55.00000000000001
Tesla Robotaxi,11,15,LIMIT,31.818181818181817
Tesla Robotaxi,11,15,MARKET,0.0
Tesla Robotaxi,11,15,CANCEL,4.545454545454546
Tesla Robotaxi,11,15,HOLD,9.090909090909092
Tesla Robotaxi,11,15,SPLIT,0.0
Tesla Robotaxi,11,15,MERGE,0.0
Tesla Robotaxi,11,15,UPDATE_BELIEF,54.54545454545454
Tesla Robotaxi,12,17,LIMIT,54.54545454545454
Tesla Robotaxi,12,17,MARKET,0.0
Tesla Robotaxi,12,17,CANCEL,0.0
Tesla Robotaxi,12,17,HOLD,0.0
Tesla Robotaxi,12,17,SPLIT,9.090909090909092
Tesla Robotaxi,12,17,MERGE,0.0
Tesla Robotaxi,12,17,UPDATE_BELIEF,36.36363636363637
Tesla Robotaxi,13,11,LIMIT,39.130434782608695
Tesla Robotaxi,13,11,MARKET,0.0
Tesla Robotaxi,13,11,CANCEL,13.043478260869565
Tesla Robotaxi,13,11,HOLD,0.0
Tesla Robotaxi,13,11,SPLIT,0.0
Tesla Robotaxi,13,11,MERGE,0.0
Tesla Robotaxi,13,11,UPDATE_BELIEF,47.82608695652174
Tesla Robotaxi,14,4,LIMIT,45.45454545454545
Tesla Robotaxi,14,4,MARKET,0.0
Tesla Robotaxi,14,4,CANCEL,9.090909090909092
Tesla Robotaxi,14,4,HOLD,4.545454545454546
Tesla Robotaxi,14,4,SPLIT,0.0
Tesla Robotaxi,14,4,MERGE,0.0
Tesla Robotaxi,14,4,UPDATE_BELIEF,40.909090909090914
Tesla Robotaxi,15,18,LIMIT,31.818181818181817
Tesla Robotaxi,15,18,MARKET,0.0
Tesla Robotaxi,15,18,CANCEL,9.090909090909092
Tesla Robotaxi,15,18,HOLD,4.545454545454546
Tesla Robotaxi,15,18,SPLIT,9.090909090909092
Tesla Robotaxi,15,18,MERGE,0.0
Tesla Robotaxi,15,18,UPDATE_BELIEF,45.45454545454545
Tesla Robotaxi,16,5,LIMIT,42.857142857142854
Tesla Robotaxi,16,5,MARKET,4.761904761904762
Tesla Robotaxi,16,5,CANCEL,19.047619047619047
Tesla Robotaxi,16,5,HOLD,0.0
Tesla Robotaxi,16,5,SPLIT,0.0
Tesla Robotaxi,16,5,MERGE,0.0
Tesla Robotaxi,16,5,UPDATE_BELIEF,33.33333333333333
Tesla Robotaxi,17,16,LIMIT,19.047619047619047
Tesla Robotaxi,17,16,MARKET,0.0
Tesla Robotaxi,17,16,CANCEL,4.761904761904762
Tesla Robotaxi,17,16,HOLD,28.57142857142857
Tesla Robotaxi,17,16,SPLIT,4.761904761904762
Tesla Robotaxi,17,16,MERGE,0.0
Tesla Robotaxi,17,16,UPDATE_BELIEF,42.857142857142854
Tesla Robotaxi,18,9,LIMIT,37.5
Tesla Robotaxi,18,9,MARKET,4.166666666666666
Tesla Robotaxi,18,9,CANCEL,8.333333333333332
Tesla Robotaxi,18,9,HOLD,4.166666666666666
Tesla Robotaxi,18,9,SPLIT,4.166666666666666
Tesla Robotaxi,18,9,MERGE,0.0
Tesla Robotaxi,18,9,UPDATE_BELIEF,41.66666666666667
Tesla Robotaxi,19,19,LIMIT,40.909090909090914
Tesla Robotaxi,19,19,MARKET,4.545454545454546
Tesla Robotaxi,19,19,CANCEL,18.181818181818183
Tesla Robotaxi,19,19,HOLD,0.0
Tesla Robotaxi,19,19,SPLIT,4.545454545454546
Tesla Robotaxi,19,19,MERGE,0.0
Tesla Robotaxi,19,19,UPDATE_BELIEF,31.818181818181817
Ethereum $5K,0,10,LIMIT,0.0
Ethereum $5K,0,10,MARKET,5.0
Ethereum $5K,0,10,CANCEL,0.0
Ethereum $5K,0,10,HOLD,5.0
Ethereum $5K,0,10,SPLIT,0.0
Ethereum $5K,0,10,MERGE,0.0
Ethereum $5K,0,10,UPDATE_BELIEF,90.0
Ethereum $5K,1,6,LIMIT,18.181818181818183
Ethereum $5K,1,6,MARKET,0.0
Ethereum $5K,1,6,CANCEL,0.0
Ethereum $5K,1,6,HOLD,0.0
Ethereum $5K,1,6,SPLIT,4.545454545454546
Ethereum $5K,1,6,MERGE,0.0
Ethereum $5K,1,6,UPDATE_BELIEF,77.27272727272727
Ethereum $5K,2,15,LIMIT,10.0
Ethereum $5K,2,15,MARKET,0.0
Ethereum $5K,2,15,CANCEL,0.0
Ethereum $5K,2,15,HOLD,15.0
Ethereum $5K,2,15,SPLIT,0.0
Ethereum $5K,2,15,MERGE,0.0
Ethereum $5K,2,15,UPDATE_BELIEF,75.0
Ethereum $5K,3,2,LIMIT,18.181818181818183
Ethereum $5K,3,2,MARKET,0.0
Ethereum $5K,3,2,CANCEL,4.545454545454546
Ethereum $5K,3,2,HOLD,4.545454545454546
Ethereum $5K,3,2,SPLIT,4.545454545454546
Ethereum $5K,3,2,MERGE,0.0
Ethereum $5K,3,2,UPDATE_BELIEF,68.18181818181817
Ethereum $5K,4,12,LIMIT,15.0
Ethereum $5K,4,12,MARKET,5.0
Ethereum $5K,4,12,CANCEL,10.0
Ethereum $5K,4,12,HOLD,5.0
Ethereum $5K,4,12,SPLIT,0.0
Ethereum $5K,4,12,MERGE,0.0
Ethereum $5K,4,12,UPDATE_BELIEF,65.0
Ethereum $5K,5,14,LIMIT,25.0
Ethereum $5K,5,14,MARKET,5.0
Ethereum $5K,5,14,CANCEL,5.0
Ethereum $5K,5,14,HOLD,0.0
Ethereum $5K,5,14,SPLIT,5.0
Ethereum $5K,5,14,MERGE,0.0
Ethereum $5K,5,14,UPDATE_BELIEF,60.0
Ethereum $5K,6,1,LIMIT,36.36363636363637
Ethereum $5K,6,1,MARKET,4.545454545454546
Ethereum $5K,6,1,CANCEL,0.0
Ethereum $5K,6,1,HOLD,0.0
Ethereum $5K,6,1,SPLIT,0.0
Ethereum $5K,6,1,MERGE,0.0
Ethereum $5K,6,1,UPDATE_BELIEF,59.09090909090909
Ethereum $5K,7,18,LIMIT,20.833333333333336
Ethereum $5K,7,18,MARKET,0.0
Ethereum $5K,7,18,CANCEL,8.333333333333332
Ethereum $5K,7,18,HOLD,8.333333333333332
Ethereum $5K,7,18,SPLIT,4.166666666666666
Ethereum $5K,7,18,MERGE,0.0
Ethereum $5K,7,18,UPDATE_BELIEF,58.333333333333336
Ethereum $5K,8,11,LIMIT,9.523809523809524
Ethereum $5K,8,11,MARKET,4.761904761904762
Ethereum $5K,8,11,CANCEL,4.761904761904762
Ethereum $5K,8,11,HOLD,19.047619047619047
Ethereum $5K,8,11,SPLIT,4.761904761904762
Ethereum $5K,8,11,MERGE,0.0
Ethereum $5K,8,11,UPDATE_BELIEF,57.14285714285714
Ethereum $5K,9,16,LIMIT,27.27272727272727
Ethereum $5K,9,16,MARKET,0.0
Ethereum $5K,9,16,CANCEL,9.090909090909092
Ethereum $5K,9,16,HOLD,0.0
Ethereum $5K,9,16,SPLIT,9.090909090909092
Ethereum $5K,9,16,MERGE,0.0
Ethereum $5K,9,16,UPDATE_BELIEF,54.54545454545454
Ethereum $5K,10,3,LIMIT,22.727272727272727
Ethereum $5K,10,3,MARKET,4.545454545454546
Ethereum $5K,10,3,CANCEL,0.0
Ethereum $5K,10,3,HOLD,4.545454545454546
Ethereum $5K,10,3,SPLIT,13.636363636363635
Ethereum $5K,10,3,MERGE,0.0
Ethereum $5K,10,3,UPDATE_BELIEF,54.54545454545454
Ethereum $5K,11,7,LIMIT,52.38095238095239
Ethereum $5K,11,7,MARKET,0.0
Ethereum $5K,11,7,CANCEL,0.0
Ethereum $5K,11,7,HOLD,0.0
Ethereum $5K,11,7,SPLIT,0.0
Ethereum $5K,11,7,MERGE,0.0
Ethereum $5K,11,7,UPDATE_BELIEF,47.61904761904761
Ethereum $5K,12,13,LIMIT,52.17391304347826
Ethereum $5K,12,13,MARKET,0.0
Ethereum $5K,12,13,CANCEL,4.3478260869565215
Ethereum $5K,12,13,HOLD,0.0
Ethereum $5K,12,13,SPLIT,0.0
Ethereum $5K,12,13,MERGE,0.0
Ethereum $5K,12,13,UPDATE_BELIEF,43.47826086956522
Ethereum $5K,13,4,LIMIT,25.0
Ethereum $5K,13,4,MARKET,0.0
Ethereum $5K,13,4,CANCEL,10.0
Ethereum $5K,13,4,HOLD,15.0
Ethereum $5K,13,4,SPLIT,0.0
Ethereum $5K,13,4,MERGE,0.0
Ethereum $5K,13,4,UPDATE_BELIEF,50.0
Ethereum $5K,14,5,LIMIT,38.095238095238095
Ethereum $5K,14,5,MARKET,0.0
Ethereum $5K,14,5,CANCEL,9.523809523809524
Ethereum $5K,14,5,HOLD,4.761904761904762
Ethereum $5K,14,5,SPLIT,0.0
Ethereum $5K,14,5,MERGE,0.0
Ethereum $5K,14,5,UPDATE_BELIEF,47.61904761904761
Ethereum $5K,15,8,LIMIT,42.30769230769231
Ethereum $5K,15,8,MARKET,0.0
Ethereum $5K,15,8,CANCEL,11.538461538461538
Ethereum $5K,15,8,HOLD,0.0
Ethereum $5K,15,8,SPLIT,0.0
Ethereum $5K,15,8,MERGE,0.0
Ethereum $5K,15,8,UPDATE_BELIEF,46.15384615384615
Ethereum $5K,16,0,LIMIT,45.45454545454545
Ethereum $5K,16,0,MARKET,0.0
Ethereum $5K,16,0,CANCEL,9.090909090909092
Ethereum $5K,16,0,HOLD,0.0
Ethereum $5K,16,0,SPLIT,0.0
Ethereum $5K,16,0,MERGE,0.0
Ethereum $5K,16,0,UPDATE_BELIEF,45.45454545454545
Ethereum $5K,17,9,LIMIT,45.45454545454545
Ethereum $5K,17,9,MARKET,0.0
Ethereum $5K,17,9,CANCEL,13.636363636363635
Ethereum $5K,17,9,HOLD,4.545454545454546
Ethereum $5K,17,9,SPLIT,4.545454545454546
Ethereum $5K,17,9,MERGE,0.0
Ethereum $5K,17,9,UPDATE_BELIEF,31.818181818181817
Ethereum $5K,18,17,LIMIT,30.434782608695656
Ethereum $5K,18,17,MARKET,0.0
Ethereum $5K,18,17,CANCEL,8.695652173913043
Ethereum $5K,18,17,HOLD,17.391304347826086
Ethereum $5K,18,17,SPLIT,0.0
Ethereum $5K,18,17,MERGE,0.0
Ethereum $5K,18,17,UPDATE_BELIEF,43.47826086956522
Ethereum $5K,19,19,LIMIT,21.73913043478261
Ethereum $5K,19,19,MARKET,4.3478260869565215
Ethereum $5K,19,19,CANCEL,8.695652173913043
Ethereum $5K,19,19,HOLD,21.73913043478261
Ethereum $5K,19,19,SPLIT,0.0
Ethereum $5K,19,19,MERGE,0.0
Ethereum $5K,19,19,UPDATE_BELIEF,43.47826086956522
