market,n,tick,yes_mid
robotaxi,10,0,0.45999999999999996
robotaxi,10,1,0.485
robotaxi,10,2,0.485
robotaxi,10,3,0.485
robotaxi,10,4,0.485
robotaxi,10,5,0.485
robotaxi,10,6,0.485
robotaxi,10,7,0.485
robotaxi,10,8,0.47
robotaxi,10,9,0.44499999999999995
robotaxi,10,10,0.44499999999999995
robotaxi,10,11,0.44499999999999995
robotaxi,10,12,0.43
robotaxi,10,13,0.445
robotaxi,10,14,0.445
robotaxi,10,15,0.445
robotaxi,10,16,0.475
robotaxi,10,17,0.39
robotaxi,10,18,0.39
robotaxi,10,19,0.395
robotaxi,10,0,0.45999999999999996
robotaxi,10,1,0.45999999999999996
robotaxi,10,2,0.42
robotaxi,10,3,0.425
robotaxi,10,4,0.42
robotaxi,10,5,0.42000000000000004
robotaxi,10,6,0.42000000000000004
robotaxi,10,7,0.42000000000000004
robotaxi,10,8,0.42000000000000004
robotaxi,10,9,0.42000000000000004
robotaxi,10,10,0.42000000000000004
robotaxi,10,11,0.425
robotaxi,10,12,0.425
robotaxi,10,13,0.425
robotaxi,10,14,0.425
robotaxi,10,15,0.425
robotaxi,10,16,0.46499999999999997
robotaxi,10,17,0.47
robotaxi,10,18,0.47
robotaxi,10,19,0.47
robotaxi,20,0,0.45999999999999996
robotaxi,20,1,0.49
robotaxi,20,2,0.49
robotaxi,20,3,0.495
robotaxi,20,4,0.485
robotaxi,20,5,0.48
robotaxi,20,6,0.48
robotaxi,20,7,0.47000000000000003
robotaxi,20,8,0.46
robotaxi,20,9,0.46
robotaxi,20,10,0.46499999999999997
robotaxi,20,11,0.46499999999999997
robotaxi,20,12,0.455
robotaxi,20,13,0.455
robotaxi,20,14,0.455
robotaxi,20,15,0.455
robotaxi,20,16,0.455
robotaxi,20,17,0.455
robotaxi,20,18,0.45
robotaxi,20,19,0.45
robotaxi,20,0,0.45999999999999996
robotaxi,20,1,0.485
robotaxi,20,2,0.5
robotaxi,20,3,0.5
robotaxi,20,4,0.47
robotaxi,20,5,0.42500000000000004
robotaxi,20,6,0.4
robotaxi,20,7,0.4
robotaxi,20,8,0.4
robotaxi,20,9,0.4
robotaxi,20,10,0.4
robotaxi,20,11,0.4
robotaxi,20,12,0.4
robotaxi,20,13,0.4
robotaxi,20,14,0.4
robotaxi,20,15,0.4
robotaxi,20,16,0.4
robotaxi,20,17,0.395
robotaxi,20,18,0.395
robotaxi,20,19,0.395
robotaxi,20,0,0.45999999999999996
robotaxi,20,1,0.495
robotaxi,20,2,0.46499999999999997
robotaxi,20,3,0.495
robotaxi,20,4,0.46499999999999997
robotaxi,20,5,0.47
robotaxi,20,6,0.44
robotaxi,20,7,0.455
robotaxi,20,8,0.455
robotaxi,20,9,0.455
robotaxi,20,10,0.455
robotaxi,20,11,0.455
robotaxi,20,12,0.455
robotaxi,20,13,0.455
robotaxi,20,14,0.455
robotaxi,20,15,0.455
robotaxi,20,16,0.455
robotaxi,20,17,0.455
robotaxi,20,18,0.455
robotaxi,20,19,0.455
robotaxi,50,0,0.45999999999999996
robotaxi,50,1,0.505
robotaxi,50,2,0.485
robotaxi,50,3,0.455
robotaxi,50,4,0.43
robotaxi,50,5,0.415
robotaxi,50,6,0.41500000000000004
robotaxi,50,7,0.405
robotaxi,50,8,0.41500000000000004
robotaxi,50,9,0.43
robotaxi,50,10,0.43
robotaxi,50,11,0.425
robotaxi,50,12,0.425
robotaxi,50,13,0.425
robotaxi,50,14,0.425
robotaxi,50,15,0.425
robotaxi,50,16,0.425
robotaxi,50,17,0.425
robotaxi,50,18,0.425
robotaxi,50,19,0.425
robotaxi,50,0,0.495
robotaxi,50,1,0.505
robotaxi,50,2,0.495
robotaxi,50,3,0.445
robotaxi,50,4,0.41500000000000004
robotaxi,50,5,0.425
robotaxi,50,6,0.425
robotaxi,50,7,0.41500000000000004
robotaxi,50,8,0.43
robotaxi,50,9,0.425
robotaxi,50,10,0.425
robotaxi,50,11,0.425
robotaxi,50,12,0.425
robotaxi,50,13,0.425
robotaxi,50,14,0.41500000000000004
robotaxi,50,15,0.41500000000000004
robotaxi,50,16,0.41500000000000004
robotaxi,50,17,0.405
robotaxi,50,18,0.395
robotaxi,50,19,0.395
robotaxi,50,0,0.495
robotaxi,50,1,0.515
robotaxi,50,2,0.515
robotaxi,50,3,0.525
robotaxi,50,4,0.51
robotaxi,50,5,0.525
robotaxi,50,6,0.51
robotaxi,50,7,0.51
robotaxi,50,8,0.51
robotaxi,50,9,0.505
robotaxi,50,10,0.45499999999999996
robotaxi,50,11,0.4
robotaxi,50,12,0.405
robotaxi,50,13,0.405
robotaxi,50,14,0.405
robotaxi,50,15,0.405
robotaxi,50,16,0.405
robotaxi,50,17,0.405
robotaxi,50,18,0.405
robotaxi,50,19,0.395
ethereum,100,0,0.565
ethereum,100,1,0.585
ethereum,100,2,0.595
ethereum,100,3,0.585
ethereum,100,4,0.595
ethereum,100,5,0.595
ethereum,100,6,0.595
ethereum,100,7,0.595
ethereum,100,8,0.585
ethereum,100,9,0.585
ethereum,100,10,0.6
ethereum,100,11,0.605
ethereum,100,12,0.605
ethereum,100,13,0.605
ethereum,100,14,0.595
ethereum,100,15,0.595
ethereum,100,16,0.595
ethereum,100,17,0.595
ethereum,100,18,0.52
ethereum,100,19,0.49
ethereum,100,0,0.585
ethereum,100,1,0.595
ethereum,100,2,0.585
ethereum,100,3,0.56
ethereum,100,4,0.575
ethereum,100,5,0.575
ethereum,100,6,0.575
ethereum,100,7,0.585
ethereum,100,8,0.585
ethereum,100,9,0.585
ethereum,100,10,0.585
ethereum,100,11,0.58
ethereum,100,12,0.575
ethereum,100,13,0.575
ethereum,100,14,0.575
ethereum,100,15,0.575
ethereum,100,16,0.575
ethereum,100,17,0.575
ethereum,100,18,0.575
ethereum,100,19,0.56
ethereum,100,0,0.565
ethereum,100,1,0.5800000000000001
ethereum,100,2,0.575
ethereum,100,3,0.575
ethereum,100,4,0.5650000000000001
ethereum,100,5,0.5650000000000001
ethereum,100,6,0.5650000000000001
ethereum,100,7,0.5650000000000001
ethereum,100,8,0.5700000000000001
ethereum,100,9,0.5800000000000001
ethereum,100,10,0.585
ethereum,100,11,0.585
ethereum,100,12,0.605
ethereum,100,13,0.605
ethereum,100,14,0.605
ethereum,100,15,0.605
ethereum,100,16,0.6
ethereum,100,17,0.6
ethereum,100,18,0.6
ethereum,100,19,0.52
ethereum,10,0,0.565
ethereum,10,1,0.5800000000000001
ethereum,10,2,0.5800000000000001
ethereum,10,3,0.5800000000000001
ethereum,10,4,0.585
ethereum,10,5,0.585
ethereum,10,6,0.5800000000000001
ethereum,10,7,0.585
ethereum,10,8,0.585
ethereum,10,9,0.585
ethereum,10,10,0.585
ethereum,10,11,0.585
ethereum,10,12,0.585
ethereum,10,13,0.585
ethereum,10,14,0.585
ethereum,10,15,0.585
ethereum,10,16,0.585
ethereum,10,17,0.565
ethereum,10,18,0.565
ethereum,10,19,0.535
ethereum,10,0,0.565
ethereum,10,1,0.575
ethereum,10,2,0.5800000000000001
ethereum,10,3,0.5800000000000001
ethereum,10,4,0.585
ethereum,10,5,0.585
ethereum,10,6,0.585
ethereum,10,7,0.585
ethereum,10,8,0.585
ethereum,10,9,0.585
ethereum,10,10,0.585
ethereum,10,11,0.585
ethereum,10,12,0.575
ethereum,10,13,0.5800000000000001
ethereum,10,14,0.5650000000000001
ethereum,10,15,0.5650000000000001
ethereum,10,16,0.5650000000000001
ethereum,10,17,0.575
ethereum,10,18,0.55
ethereum,10,19,0.54
ethereum,10,0,0.565
ethereum,10,1,0.575
ethereum,10,2,0.575
ethereum,10,3,0.585
ethereum,10,4,0.585
ethereum,10,5,0.585
ethereum,10,6,0.585
ethereum,10,7,0.585
ethereum,10,8,0.5700000000000001
ethereum,10,9,0.575
ethereum,10,10,0.575
ethereum,10,11,0.575
ethereum,10,12,0.575
ethereum,10,13,0.575
ethereum,10,14,0.575
ethereum,10,15,0.575
ethereum,10,16,0.575
ethereum,10,17,0.575
ethereum,10,18,0.5700000000000001
ethereum,10,19,0.5700000000000001
ethereum,20,0,0.565
ethereum,20,1,0.555
ethereum,20,2,0.575
ethereum,20,3,0.585
ethereum,20,4,0.575
ethereum,20,5,0.585
ethereum,20,6,0.585
ethereum,20,7,0.585
ethereum,20,8,0.585
ethereum,20,9,0.5700000000000001
ethereum,20,10,0.575
ethereum,20,11,0.575
ethereum,20,12,0.575
ethereum,20,13,0.595
ethereum,20,14,0.595
ethereum,20,15,0.595
ethereum,20,16,0.59
ethereum,20,17,0.59
ethereum,20,18,0.59
ethereum,20,19,0.59
ethereum,20,0,0.565
ethereum,20,1,0.585
ethereum,20,2,0.585
ethereum,20,3,0.595
ethereum,20,4,0.585
ethereum,20,5,0.585
ethereum,20,6,0.6
ethereum,20,7,0.585
ethereum,20,8,0.56
ethereum,20,9,0.56
ethereum,20,10,0.565
ethereum,20,11,0.565
ethereum,20,12,0.545
ethereum,20,13,0.55
ethereum,20,14,0.55
ethereum,20,15,0.575
ethereum,20,16,0.5900000000000001
ethereum,20,17,0.5700000000000001
ethereum,20,18,0.5700000000000001
ethereum,20,19,0.5700000000000001
ethereum,20,0,0.565
ethereum,20,1,0.5800000000000001
ethereum,20,2,0.5800000000000001
ethereum,20,3,0.585
ethereum,20,4,0.585
ethereum,20,5,0.585
ethereum,20,6,0.585
ethereum,20,7,0.585
ethereum,20,8,0.585
ethereum,20,9,0.595
ethereum,20,10,0.595
ethereum,20,11,0.605
ethereum,20,12,0.605
ethereum,20,13,0.605
ethereum,20,14,0.595
ethereum,20,15,0.595
ethereum,20,16,0.595
ethereum,20,17,0.585
ethereum,20,18,0.585
ethereum,20,19,0.52
ethereum,50,0,0.565
ethereum,50,1,0.585
ethereum,50,2,0.585
ethereum,50,3,0.575
ethereum,50,4,0.56
ethereum,50,5,0.5650000000000001
ethereum,50,6,0.5650000000000001
ethereum,50,7,0.5650000000000001
ethereum,50,8,0.5650000000000001
ethereum,50,9,0.585
ethereum,50,10,0.595
ethereum,50,11,0.6
ethereum,50,12,0.575
ethereum,50,13,0.585
ethereum,50,14,0.575
ethereum,50,15,0.575
ethereum,50,16,0.5650000000000001
ethereum,50,17,0.5650000000000001
ethereum,50,18,0.55
ethereum,50,19,0.55
ethereum,50,0,0.565
ethereum,50,1,0.595
ethereum,50,2,0.605
ethereum,50,3,0.61
ethereum,50,4,0.605
ethereum,50,5,0.605
ethereum,50,6,0.595
ethereum,50,7,0.595
ethereum,50,8,0.5700000000000001
ethereum,50,9,0.5800000000000001
ethereum,50,10,0.59
ethereum,50,11,0.59
ethereum,50,12,0.52
ethereum,50,13,0.53
ethereum,50,14,0.545
ethereum,50,15,0.53
ethereum,50,16,0.52
ethereum,50,17,0.51
ethereum,50,18,0.475
ethereum,50,19,0.47000000000000003
ethereum,50,0,0.5700000000000001
ethereum,50,1,0.585
ethereum,50,2,0.585
ethereum,50,3,0.595
ethereum,50,4,0.595
ethereum,50,5,0.595
ethereum,50,6,0.595
ethereum,50,7,0.595
ethereum,50,8,0.595
ethereum,50,9,0.595
ethereum,50,10,0.6
ethereum,50,11,0.595
ethereum,50,12,0.595
ethereum,50,13,0.595
ethereum,50,14,0.595
ethereum,50,15,0.595
ethereum,50,16,0.6
ethereum,50,17,0.595
ethereum,50,18,0.595
ethereum,50,19,0.595
