market,agent_id,tick,yes_prob
Ethereum $5K,2,4,0.55
Ethereum $5K,2,5,0.55
Ethereum $5K,2,6,0.55
Ethereum $5K,2,9,0.55
Ethereum $5K,2,12,0.55
Ethereum $5K,2,13,0.55
Ethereum $5K,2,14,0.48
Ethereum $5K,2,15,0.46
Ethereum $5K,2,16,0.38
Ethereum $5K,2,18,0.35
Ethereum $5K,2,19,0.2
Ethereum $5K,3,0,0.54
Ethereum $5K,3,4,0.56
Ethereum $5K,3,6,0.56
Ethereum $5K,3,7,0.56
Ethereum $5K,3,9,0.56
Ethereum $5K,3,12,0.56
Ethereum $5K,3,13,0.56
Ethereum $5K,3,14,0.56
Ethereum $5K,3,16,0.5
Ethereum $5K,3,17,0.25
Ethereum $5K,3,18,0.15
Ethereum $5K,3,19,0.105
Ethereum $5K,4,0,0.64
Ethereum $5K,4,6,0.64
Ethereum $5K,4,7,0.64
Ethereum $5K,4,8,0.64
Ethereum $5K,4,9,0.64
Ethereum $5K,4,11,0.64
Ethereum $5K,4,15,0.64
Ethereum $5K,4,16,0.62
Ethereum $5K,4,18,0.48
Ethereum $5K,4,19,0.35
Ethereum $5K,5,0,0.3
Ethereum $5K,5,4,0.3
Ethereum $5K,5,8,0.3
Ethereum $5K,5,10,0.3
Ethereum $5K,5,12,0.45
Ethereum $5K,5,13,0.45
Ethereum $5K,5,14,0.45
Ethereum $5K,5,16,0.45
Ethereum $5K,5,17,0.45
Ethereum $5K,5,19,0.45
Ethereum $5K,6,0,0.5
Ethereum $5K,6,1,0.5
Ethereum $5K,6,2,0.5
Ethereum $5K,6,3,0.55
Ethereum $5K,6,4,0.58
Ethereum $5K,6,5,0.58
Ethereum $5K,6,6,0.58
Ethereum $5K,6,7,0.58
Ethereum $5K,6,8,0.58
Ethereum $5K,6,9,0.58
Ethereum $5K,6,10,0.58
Ethereum $5K,6,12,0.58
Ethereum $5K,6,14,0.57
Ethereum $5K,6,15,0.57
Ethereum $5K,6,16,0.55
Ethereum $5K,6,18,0.5
Ethereum $5K,6,19,0.35
Ethereum $5K,7,0,0.73
Ethereum $5K,7,9,0.73
Ethereum $5K,7,10,0.73
Ethereum $5K,7,11,0.73
Ethereum $5K,7,12,0.73
Ethereum $5K,7,13,0.73
Ethereum $5K,7,14,0.73
Ethereum $5K,7,15,0.62
Ethereum $5K,7,16,0.4
Ethereum $5K,7,19,0.21
Ethereum $5K,8,0,0.44
Ethereum $5K,8,1,0.46
Ethereum $5K,8,2,0.47
Ethereum $5K,8,3,0.48
Ethereum $5K,8,6,0.48
Ethereum $5K,8,8,0.48
Ethereum $5K,8,9,0.45
Ethereum $5K,8,10,0.4
Ethereum $5K,8,14,0.38
Ethereum $5K,8,16,0.35
Ethereum $5K,8,17,0.3
Ethereum $5K,8,18,0.27
Ethereum $5K,9,0,0.49
Ethereum $5K,9,3,0.49
Ethereum $5K,9,5,0.5
Ethereum $5K,9,9,0.48
Ethereum $5K,9,12,0.48
Ethereum $5K,9,16,0.47
Ethereum $5K,9,19,0.45
Ethereum $5K,10,0,0.05
Ethereum $5K,10,2,0.05
Ethereum $5K,10,3,0.05
Ethereum $5K,10,4,0.05
Ethereum $5K,10,5,0.05
Ethereum $5K,10,6,0.05
Ethereum $5K,10,7,0.05
Ethereum $5K,10,8,0.05
Ethereum $5K,10,9,0.05
Ethereum $5K,10,10,0.05
Ethereum $5K,10,11,0.04
Ethereum $5K,10,12,0.03
Ethereum $5K,10,14,0.02
Ethereum $5K,10,15,0.015
Ethereum $5K,10,16,0.015
Ethereum $5K,10,17,0.015
Ethereum $5K,10,18,0.012
Ethereum $5K,10,19,0.01
Ethereum $5K,11,0,0.58
Ethereum $5K,11,2,0.58
Ethereum $5K,11,3,0.58
Ethereum $5K,11,5,0.58
Ethereum $5K,11,6,0.58
Ethereum $5K,11,8,0.58
Ethereum $5K,11,10,0.58
Ethereum $5K,11,11,0.58
Ethereum $5K,11,14,0.52
Ethereum $5K,11,15,0.55
Ethereum $5K,11,17,0.48
Ethereum $5K,11,19,0.35
Ethereum $5K,12,0,0.98
Ethereum $5K,12,1,0.72
Ethereum $5K,12,3,0.72
Ethereum $5K,12,4,0.72
Ethereum $5K,12,6,0.72
Ethereum $5K,12,7,0.72
Ethereum $5K,12,8,0.72
Ethereum $5K,12,9,0.7
Ethereum $5K,12,10,0.68
Ethereum $5K,12,11,0.65
Ethereum $5K,12,12,0.08
Ethereum $5K,12,16,0.05
Ethereum $5K,12,17,0.03
Ethereum $5K,13,0,0.82
Ethereum $5K,13,3,0.82
Ethereum $5K,13,8,0.82
Ethereum $5K,13,12,0.82
Ethereum $5K,13,13,0.82
Ethereum $5K,13,14,0.82
Ethereum $5K,13,15,0.82
Ethereum $5K,13,16,0.4
Ethereum $5K,13,18,0.3
Ethereum $5K,13,19,0.25
Ethereum $5K,14,0,0.49
Ethereum $5K,14,1,0.49
Ethereum $5K,14,3,0.49
Ethereum $5K,14,4,0.5
Ethereum $5K,14,6,0.5
Ethereum $5K,14,8,0.5
Ethereum $5K,14,12,0.48
Ethereum $5K,14,13,0.47
Ethereum $5K,14,15,0.46
Ethereum $5K,14,17,0.12
Ethereum $5K,14,18,0.1
Ethereum $5K,14,19,0.07
Ethereum $5K,15,0,0.57
Ethereum $5K,15,2,0.57
Ethereum $5K,15,4,0.57
Ethereum $5K,15,5,0.57
Ethereum $5K,15,6,0.55
Ethereum $5K,15,7,0.55
Ethereum $5K,15,8,0.55
Ethereum $5K,15,10,0.55
Ethereum $5K,15,11,0.55
Ethereum $5K,15,12,0.55
Ethereum $5K,15,13,0.55
Ethereum $5K,15,14,0.55
Ethereum $5K,15,16,0.55
Ethereum $5K,15,18,0.48
Ethereum $5K,15,19,0.4
Ethereum $5K,16,0,0.88
Ethereum $5K,16,2,0.88
Ethereum $5K,16,6,0.88
Ethereum $5K,16,7,0.65
Ethereum $5K,16,8,0.65
Ethereum $5K,16,10,0.62
Ethereum $5K,16,11,0.62
Ethereum $5K,16,13,0.62
Ethereum $5K,16,14,0.62
Ethereum $5K,16,17,0.58
Ethereum $5K,16,18,0.58
Ethereum $5K,16,19,0.15
Ethereum $5K,17,0,0.64
Ethereum $5K,17,3,0.64
Ethereum $5K,17,6,0.64
Ethereum $5K,17,9,0.64
Ethereum $5K,17,12,0.64
Ethereum $5K,17,14,0.64
Ethereum $5K,17,15,0.42
Ethereum $5K,17,16,0.35
Ethereum $5K,17,17,0.3
Ethereum $5K,17,18,0.28
Ethereum $5K,18,0,0.53
Ethereum $5K,18,3,0.53
Ethereum $5K,18,5,0.53
Ethereum $5K,18,6,0.53
Ethereum $5K,18,9,0.53
Ethereum $5K,18,10,0.53
Ethereum $5K,18,11,0.53
Ethereum $5K,18,12,0.5
Ethereum $5K,18,13,0.35
Ethereum $5K,18,15,0.35
Ethereum $5K,18,16,0.35
Ethereum $5K,18,17,0.35
Ethereum $5K,18,18,0.33
Ethereum $5K,18,19,0.3
Ethereum $5K,19,0,0.62
Ethereum $5K,19,4,0.62
Ethereum $5K,19,5,0.62
Ethereum $5K,19,6,0.62
Ethereum $5K,19,7,0.62
Ethereum $5K,19,13,0.48
Ethereum $5K,19,15,0.47
Ethereum $5K,19,16,0.45
Ethereum $5K,19,17,0.35
Ethereum $5K,19,18,0.22
