action_counts,belief_confidence_mean,belief_yes_prob_mean,fill_notional,n_actions,n_belief_updates,n_fills,n_trade_actions,response_chars,tick,yes_mid_delta,yes_mid_end,yes_mid_start,run_dir,slug,price
"{'CANCEL': 2, 'UPDATE_BELIEF': 2}",0.525,0.42,0.0,4,2,0,2,8352,10,-0.01,0.46,0.47000000000000003,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.45999999999999996
"{'LIMIT': 1, 'MARKET': 1, 'UPDATE_BELIEF': 2}",0.525,0.42,123.157893,4,2,3,2,9522,11,0.0,0.53,0.53,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.53
"{'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.55,0.35000000000000003,0.0,3,1,0,1,9908,12,0.0,0.53,0.53,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.53
"{'HOLD': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.525,0.395,0.0,4,2,0,2,9816,13,-0.08,0.45,0.53,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.44999999999999996
{'UPDATE_BELIEF': 2},,,0.0,2,0,0,0,9739,14,0.0,0.45,0.45,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.44999999999999996
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.525,0.35000000000000003,0.0,4,2,0,2,10839,15,0.08,0.53,0.45,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.53
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.5750000000000001,0.35000000000000003,0.0,4,2,0,2,8972,16,0.0,0.45,0.45,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.44999999999999996
"{'HOLD': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.55,0.385,0.0,4,2,0,2,8447,17,0.0,0.45,0.45,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.44999999999999996
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.55,0.395,0.0,4,2,0,2,9193,18,0.0,0.45,0.45,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.44999999999999996
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.55,0.395,0.0,4,2,0,2,9419,19,0.0,0.45,0.45,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.44999999999999996
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.55,0.395,0.0,4,2,0,2,9122,20,0.0,0.45,0.45,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.44999999999999996
"{'CANCEL': 2, 'UPDATE_BELIEF': 2}",0.55,0.395,0.0,4,2,0,2,8799,21,0.08,0.53,0.45,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.53
"{'LIMIT': 1, 'MARKET': 1, 'UPDATE_BELIEF': 2}",0.525,0.37,94.73684,4,2,3,2,10199,22,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.525,0.34,0.0,4,2,0,2,11436,23,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'SPLIT': 1, 'UPDATE_BELIEF': 2}",0.5650000000000001,0.315,0.0,4,2,0,2,12102,24,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'MARKET': 1, 'UPDATE_BELIEF': 2}",0.5750000000000001,0.33,80.566459,4,2,2,2,9268,25,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.55,0.335,13.380908,4,2,1,2,9601,26,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.55,0.335,48.157894,4,2,1,2,8381,27,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.55,0.335,0.0,4,2,0,2,10165,28,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.5750000000000001,0.335,0.0,4,2,0,2,12562,29,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.55,0.335,0.0,4,2,0,2,9419,30,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.45,0.39,0.0,3,1,0,1,8206,31,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'HOLD': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.55,0.335,0.0,4,2,0,2,9226,32,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'HOLD': 1, 'UPDATE_BELIEF': 2}",0.65,0.28,0.0,3,1,0,1,7966,33,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.5750000000000001,0.335,0.0,4,2,0,2,9186,34,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.535,0.315,0.0,4,2,0,2,10865,35,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.5750000000000001,0.315,0.0,4,2,0,2,10504,36,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.625,0.315,0.0,4,2,0,2,12601,37,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.635,0.315,0.0,4,2,0,2,14393,38,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'UPDATE_BELIEF': 2}",0.55,0.35000000000000003,0.0,3,1,0,1,7444,39,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.635,0.315,0.0,4,2,0,2,8850,40,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'HOLD': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.635,0.315,0.0,4,2,0,2,10090,41,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.635,0.315,0.0,4,2,0,2,9081,42,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 2, 'UPDATE_BELIEF': 2}",0.635,0.315,0.0,4,2,0,2,8850,43,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 1, 'UPDATE_BELIEF': 2}",0.56,0.37,0.0,3,1,0,1,10418,44,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.665,0.315,0.0,4,2,0,2,8785,45,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 1, 'UPDATE_BELIEF': 2}",0.74,0.28,0.0,3,1,0,1,9008,46,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.65,0.28500000000000003,0.0,4,2,0,2,10030,47,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'CANCEL': 2, 'UPDATE_BELIEF': 2}",0.66,0.27,0.0,4,2,0,2,10682,48,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
"{'LIMIT': 2, 'UPDATE_BELIEF': 2}",0.6900000000000001,0.23500000000000001,0.0,4,2,0,2,11310,49,0.0,0.39,0.39,20260527T081158-checkpoint_trial_2agent_t50-d94a3981-c4327736,will-tesla-launch-a-driverless-robotaxi-service-by-october-31,0.39
